Student Name,Subject Enjoyed,Topic Interest,Whole Day Activity,Natural Talent,Task Preference,Free Time Activity,Extracurricular,Exciting Profession,Admired Person,Learning Style,Work Preference,Tried Activities,Inspired Place,Recommended Path
Aarav Nair,Mathematics,Technology and Gadgets,Playing Video Games,Solving Math Problems,Working with numbers,Coding or Robotics,"Yes, Technology (coding, robotics)",Software Developer / Game Designer,A YouTuber or influencer,Watching videos,Alone,Coding or Making Apps,Tech Fair / Exhibition,Science (Non Medical)
Vivaan Das,English / Literature,Animals and Nature,Reading Books / Comics,Explaining Things to Others,Writing or storytelling,Reading or Writing,"Yes (Clubs like debate, science, book, etc.)",Scientist / Researcher,A scientist,Reading books or articles,With a partner,Writing Blogs or Stories,Science Museum,Humanities / Communication of law
Diya Patel,Social Studies,Animals and Nature,Reading Books / Comics,Explaining Things to Others,Writing or storytelling,Reading or Writing,"Yes (Clubs like debate, science, book, etc.)",Scientist / Researcher,A scientist,Reading books or articles,With a partner,Writing Blogs or Stories,Science Museum,Civil Services
Aarav Das,Social Studies,Animals and Nature,Reading Books / Comics,Explaining Things to Others,Writing or storytelling,Reading or Writing,"Yes (Clubs like debate, science, book, etc.)",Scientist / Researcher,A scientist,Reading books or articles,With a partner,Writing Blogs or Stories,Science Museum,Civil Services
Aryan Singh,Hindi,Animals and Nature,Reading Books / Comics,Explaining Things to Others,Writing or storytelling,Reading or Writing,"Yes (Clubs like debate, science, book, etc.)",Scientist / Researcher,A scientist,Reading books or articles,With a partner,Writing Blogs or Stories,Science Museum,Humanities
Riya Das,Science,Animals and Nature,Reading Books / Comics,Explaining Things to Others,Writing or storytelling,Reading or Writing,"Yes (Clubs like debate, science, book, etc.)",Scientist / Researcher,A scientist,Reading books or articles,With a partner,Writing Blogs or Stories,Science Museum,Medicine or Research
Aryan Mehta,Science,Animals and Nature,Reading Books / Comics,Explaining Things to Others,Writing or storytelling,Reading or Writing,"Yes (Clubs like debate, science, book, etc.)",Scientist / Researcher,A scientist,Reading books or articles,With a partner,Writing Blogs or Stories,Science Museum,Medicine or Research
Aryan Verma,Social Studies,Animals and Nature,Reading Books / Comics,Explaining Things to Others,Writing or storytelling,Reading or Writing,"Yes (Clubs like debate, science, book, etc.)",Scientist / Researcher,A scientist,Reading books or articles,With a partner,Writing Blogs or Stories,Science Museum,Civil Services
Vivaan Mehta,Science,Animals and Nature,Reading Books / Comics,Explaining Things to Others,Writing or storytelling,Reading or Writing,"Yes (Clubs like debate, science, book, etc.)",Scientist / Researcher,A scientist,Reading books or articles,With a partner,Writing Blogs or Stories,Science Museum,Medicine or Research
Krish Mehta,Mathematics,Technology and Gadgets,Playing Video Games,Solving Math Problems,Working with numbers,Coding or Robotics,"Yes, Technology (coding, robotics)",Software Developer / Game Designer,A YouTuber or influencer,Watching videos,Alone,Coding or Making Apps,Tech Fair / Exhibition,Science (Non Medical)
Saanvi Sharma,Computer Science / IT,Games and Puzzles,Building Models or DIY Crafts,Fixing or Assembling Things,Hands-on projects,Making Videos / Content,"No, not yet but interested",Entrepreneur / Business Owner,"A family member (mom/dad, etc.)",Practicing with examples,Depends on the task,None of these yet,Not yet,IT or Software Engineering
Krish Singh,Mathematics,Technology and Gadgets,Playing Video Games,Solving Math Problems,Working with numbers,Coding or Robotics,"Yes, Technology (coding, robotics)",Software Developer / Game Designer,A YouTuber or influencer,Watching videos,Alone,Coding or Making Apps,Tech Fair / Exhibition,Science (Non Medical)
Aarav Das,Hindi,Animals and Nature,Reading Books / Comics,Explaining Things to Others,Writing or storytelling,Reading or Writing,"Yes (Clubs like debate, science, book, etc.)",Scientist / Researcher,A scientist,Reading books or articles,With a partner,Writing Blogs or Stories,Science Museum,Humanities
Saanvi Nair,Mathematics,Technology and Gadgets,Playing Video Games,Solving Math Problems,Working with numbers,Coding or Robotics,"Yes, Technology (coding, robotics)",Software Developer / Game Designer,A YouTuber or influencer,Watching videos,Alone,Coding or Making Apps,Tech Fair / Exhibition,Science (Non Medical)
Vivaan Kumar,Computer Science / IT,Games and Puzzles,Building Models or DIY Crafts,Fixing or Assembling Things,Hands-on projects,Making Videos / Content,"No, not yet but interested",Entrepreneur / Business Owner,"A family member (mom/dad, etc.)",Practicing with examples,Depends on the task,None of these yet,Not yet,Science (Non Medical)
Saanvi Kumar,Hindi,Animals and Nature,Reading Books / Comics,Explaining Things to Others,Writing or storytelling,Reading or Writing,"Yes (Clubs like debate, science, book, etc.)",Scientist / Researcher,A scientist,Reading books or articles,With a partner,Writing Blogs or Stories,Science Museum,Humanities
Aditya Patel,Hindi,Animals and Nature,Reading Books / Comics,Explaining Things to Others,Writing or storytelling,Reading or Writing,"Yes (Clubs like debate, science, book, etc.)",Scientist / Researcher,A scientist,Reading books or articles,With a partner,Writing Blogs or Stories,Science Museum,Humanities
Aditya Reddy,Art,Art and Craft,Drawing / Painting,Drawing or Designing,Creating or designing,Drawing or Crafting,"Yes , Arts (dance, drama, painting)",Artist / Designer,An actor or musician,Doing hands-on activities or experiments,In a group,Digital Art or Animation,Art Gallery or Studio,Design or Fine Arts
Ananya Mehta,Hindi,Animals and Nature,Reading Books / Comics,Explaining Things to Others,Writing or storytelling,Reading or Writing,"Yes (Clubs like debate, science, book, etc.)",Scientist / Researcher,A scientist,Reading books or articles,With a partner,Writing Blogs or Stories,Science Museum,Humanities 
Riya Mehta,Art,Art and Craft,Drawing / Painting,Drawing or Designing,Creating or designing,Drawing or Crafting,"Yes , Arts (dance, drama, painting)",Artist / Designer,An actor or musician,Doing hands-on activities or experiments,In a group,Digital Art or Animation,Art Gallery or Studio,Design or Fine Arts
Ishita Gupta,Science,Animals and Nature,Reading Books / Comics,Explaining Things to Others,Writing or storytelling,Reading or Writing,"Yes (Clubs like debate, science, book, etc.)",Scientist / Researcher,A scientist,Reading books or articles,With a partner,Writing Blogs or Stories,Science Museum,Medicine or Research
Vivaan Das,Hindi,Animals and Nature,Reading Books / Comics,Explaining Things to Others,Writing or storytelling,Reading or Writing,"Yes (Clubs like debate, science, book, etc.)",Scientist / Researcher,A scientist,Reading books or articles,With a partner,Writing Blogs or Stories,Science Museum,Humanities
Riya Verma,Mathematics,Technology and Gadgets,Playing Video Games,Solving Math Problems,Working with numbers,Coding or Robotics,"Yes, Technology (coding, robotics)",Software Developer / Game Designer,A YouTuber or influencer,Watching videos,Alone,Coding or Making Apps,Tech Fair / Exhibition,Science (Non Medical)
Ishita Kumar,Art,Art and Craft,Drawing / Painting,Drawing or Designing,Creating or designing,Drawing or Crafting,"Yes , Arts (dance, drama, painting)",Artist / Designer,An actor or musician,Doing hands-on activities or experiments,In a group,Digital Art or Animation,Art Gallery or Studio,Design or Fine Arts
Ishita Das,Science,Animals and Nature,Reading Books / Comics,Explaining Things to Others,Writing or storytelling,Reading or Writing,"Yes (Clubs like debate, science, book, etc.)",Scientist / Researcher,A scientist,Reading books or articles,With a partner,Writing Blogs or Stories,Science Museum,Medicine or Research
Ishita Reddy,Art,Art and Craft,Drawing / Painting,Drawing or Designing,Creating or designing,Drawing or Crafting,"Yes , Arts (dance, drama, painting)",Artist / Designer,An actor or musician,Doing hands-on activities or experiments,In a group,Digital Art or Animation,Art Gallery or Studio,Design or Fine Arts
Aryan Das,Mathematics,Technology and Gadgets,Playing Video Games,Solving Math Problems,Working with numbers,Coding or Robotics,"Yes, Technology (coding, robotics)",Software Developer / Game Designer,A YouTuber or influencer,Watching videos,Alone,Coding or Making Apps,Tech Fair / Exhibition,Science (Non Medical)
